  |H|   |A|       S  Layout   Type   Throughput(Q/s)  ConvTime(s)
 2000     5  0.500    V_ALL   conv                 -         0.11
 2000     5  0.500    V_ALL      i            6076.6            -
 2000     5  0.500    V_ALL     ii            4765.0            -
 2000     5  0.500   H_VIEW   conv                 -         0.12
 2000     5  0.500   H_VIEW      i             992.4            -
 2000     5  0.500   H_VIEW     ii             901.6            -
 2000     5  0.750    V_ALL   conv                 -         0.09
 2000     5  0.750    V_ALL      i            9031.7            -
 2000     5  0.750    V_ALL     ii            7440.1            -
 2000     5  0.750   H_VIEW   conv                 -         0.09
 2000     5  0.750   H_VIEW      i            2022.9            -
 2000     5  0.750   H_VIEW     ii            2008.0            -
 2000     5  0.875    V_ALL   conv                 -         0.10
 2000     5  0.875    V_ALL      i           15152.1            -
 2000     5  0.875    V_ALL     ii           12367.1            -
 2000     5  0.875   H_VIEW   conv                 -         0.09
 2000     5  0.875   H_VIEW      i            4781.5            -
 2000     5  0.875   H_VIEW     ii            3298.2            -
 2000    10  0.500    V_ALL   conv                 -         0.10
 2000    10  0.500    V_ALL      i            3278.8            -
 2000    10  0.500    V_ALL     ii            2718.2            -
 2000    10  0.500   H_VIEW   conv                 -         0.09
 2000    10  0.500   H_VIEW      i             306.3            -
 2000    10  0.500   H_VIEW     ii             386.3            -
 2000    10  0.750    V_ALL   conv                 -         0.10
 2000    10  0.750    V_ALL      i            5650.6            -
 2000    10  0.750    V_ALL     ii            4600.0            -
 2000    10  0.750   H_VIEW   conv                 -         0.09
 2000    10  0.750   H_VIEW      i             613.2            -
 2000    10  0.750   H_VIEW     ii            1518.1            -
 2000    10  0.875    V_ALL   conv                 -         0.10
 2000    10  0.875    V_ALL      i            9901.1            -
 2000    10  0.875    V_ALL     ii            8151.7            -
 2000    10  0.875   H_VIEW   conv                 -         0.09
 2000    10  0.875   H_VIEW      i            1358.1            -
 2000    10  0.875   H_VIEW     ii            2750.4            -
 2000    15  0.500    V_ALL   conv                 -         0.10
 2000    15  0.500    V_ALL      i            2259.2            -
 2000    15  0.500    V_ALL     ii            1987.5            -
 2000    15  0.500   H_VIEW   conv                 -         0.12
 2000    15  0.500   H_VIEW      i             138.6            -
 2000    15  0.500   H_VIEW     ii             269.2            -
 2000    15  0.750    V_ALL   conv                 -         0.10
 2000    15  0.750    V_ALL      i            3986.3            -
 2000    15  0.750    V_ALL     ii            3359.1            -
 2000    15  0.750   H_VIEW   conv                 -         0.09
 2000    15  0.750   H_VIEW      i             288.8            -
 2000    15  0.750   H_VIEW     ii             582.8            -
 2000    15  0.875    V_ALL   conv                 -         0.10
 2000    15  0.875    V_ALL      i            7083.6            -
 2000    15  0.875    V_ALL     ii            6067.4            -
 2000    15  0.875   H_VIEW   conv                 -         0.09
 2000    15  0.875   H_VIEW      i             568.8            -
 2000    15  0.875   H_VIEW     ii            1195.0            -
 4000     5  0.500    V_ALL   conv                 -         0.10
 4000     5  0.500    V_ALL      i            3199.0            -
 4000     5  0.500    V_ALL     ii            2347.8            -
 4000     5  0.500   H_VIEW   conv                 -         0.12
 4000     5  0.500   H_VIEW      i             450.9            -
 4000     5  0.500   H_VIEW     ii             395.3            -
 4000     5  0.750    V_ALL   conv                 -         0.10
 4000     5  0.750    V_ALL      i            5734.8            -
 4000     5  0.750    V_ALL     ii            4267.8            -
 4000     5  0.750   H_VIEW   conv                 -         0.09
 4000     5  0.750   H_VIEW      i            1152.7            -
 4000     5  0.750   H_VIEW     ii            1070.2            -
 4000     5  0.875    V_ALL   conv                 -         0.10
 4000     5  0.875    V_ALL      i           10127.1            -
 4000     5  0.875    V_ALL     ii            7498.7            -
 4000     5  0.875   H_VIEW   conv                 -         0.11
 4000     5  0.875   H_VIEW      i            2659.6            -
 4000     5  0.875   H_VIEW     ii            2298.8            -
 4000    10  0.500    V_ALL   conv                 -         0.11
 4000    10  0.500    V_ALL      i            1673.8            -
 4000    10  0.500    V_ALL     ii            1343.4            -
 4000    10  0.500   H_VIEW   conv                 -         0.12
 4000    10  0.500   H_VIEW      i             146.4            -
 4000    10  0.500   H_VIEW     ii             180.8            -
 4000    10  0.750    V_ALL   conv                 -         0.10
 4000    10  0.750    V_ALL      i            3186.1            -
 4000    10  0.750    V_ALL     ii            2586.9            -
 4000    10  0.750   H_VIEW   conv                 -         0.12
 4000    10  0.750   H_VIEW      i             330.4            -
 4000    10  0.750   H_VIEW     ii             855.7            -
 4000    10  0.875    V_ALL   conv                 -         0.10
 4000    10  0.875    V_ALL      i            5600.6            -
 4000    10  0.875    V_ALL     ii            4359.2            -
 4000    10  0.875   H_VIEW   conv                 -         0.09
 4000    10  0.875   H_VIEW      i             698.2            -
 4000    10  0.875   H_VIEW     ii            5218.7            -
 4000    15  0.500    V_ALL   conv                 -         0.11
 4000    15  0.500    V_ALL      i            1151.4            -
 4000    15  0.500    V_ALL     ii             945.0            -
 4000    15  0.500   H_VIEW   conv                 -         0.12
 4000    15  0.500   H_VIEW      i              64.1            -
 4000    15  0.500   H_VIEW     ii             106.1            -
 4000    15  0.750    V_ALL   conv                 -         0.10
 4000    15  0.750    V_ALL      i            2185.2            -
 4000    15  0.750    V_ALL     ii            1837.8            -
